qw,qx,qy,qz
0.1129791,-0.004718298,-0.9849076,-0.1310362
0.1134838,-0.004730914,-0.9837251,-0.1392264
0.1134838,-0.004730914,-0.9837251,-0.1392264
0.1137013,-0.004865999,-0.9827024,-0.1460972
0.1135515,-0.005161712,-0.9818846,-0.1515983
0.113544,-0.005087566,-0.9810743,-0.1567649
0.113544,-0.005087566,-0.9810743,-0.1567649
0.1135587,-0.00467228,-0.9803678,-0.1611261
0.1137729,-0.004766998,-0.9797373,-0.1647663
0.1135764,-0.005190501,-0.979256,-0.1677232
0.1135764,-0.005190501,-0.979256,-0.1677232
0.1128885,-0.005880952,-0.9787365,-0.1711621
0.1117095,-0.005807007,-0.9782178,-0.1748632
0.1103532,-0.004734063,-0.9778405,-0.1778417
0.1103532,-0.004734063,-0.9778405,-0.1778417
0.1090387,-0.004599962,-0.9775638,-0.1801625
0.1073324,-0.00432446,-0.9773153,-0.1825263
0.1058167,-0.004066975,-0.9769907,-0.1851364
0.1058167,-0.004066975,-0.9769907,-0.1851364
0.1043273,-0.004254987,-0.9767588,-0.1871896
0.102911,-0.005009347,-0.9766471,-0.1885328
0.1014964,-0.005742497,-0.9766815,-0.1890996
0.1014964,-0.005742497,-0.9766815,-0.1890996
0.1002382,-0.007001773,-0.9766023,-0.1901352
0.09864837,-0.008183264,-0.9762111,-0.1929078
0.09698392,-0.007871406,-0.9758021,-0.1958121
0.09698392,-0.007871406,-0.9758021,-0.1958121
0.09605429,-0.005389097,-0.9753765,-0.1984574
0.09657259,-0.003402676,-0.9748893,-0.2006316
0.09773739,-0.004901089,-0.97442,-0.2023092
0.09773739,-0.004901089,-0.97442,-0.2023092
0.09974616,-0.008451993,-0.9734621,-0.205793
0.1032055,-0.01184271,-0.9726442,-0.2077779
0.1099156,-0.0125768,-0.9709266,-0.2122779
0.1099156,-0.0125768,-0.9709266,-0.2122779
0.1167269,-0.01178911,-0.9686996,-0.2187622
0.1202189,-0.01534352,-0.965666,-0.2297852
0.1202189,-0.01534352,-0.965666,-0.2297852
0.1188272,-0.0223372,-0.9614533,-0.2469589
0.1165692,-0.02962614,-0.9569463,-0.2641735
0.1107851,-0.02724275,-0.9532217,-0.2799157
0.1107851,-0.02724275,-0.9532217,-0.2799157
0.1007968,-0.006929037,-0.9518238,-0.2895228
0.09469038,0.01675968,-0.9537433,-0.2848271
0.09881461,0.01867915,-0.9582554,-0.267644
0.09881461,0.01867915,-0.9582554,-0.267644
0.114559,-0.007492174,-0.9623546,-0.246361
0.1250241,-0.01495199,-0.9635402,-0.2360841
0.1267499,-0.004270717,-0.9629681,-0.2379259
0.1267499,-0.004270717,-0.9629681,-0.2379259
0.1248584,-0.003243489,-0.9601311,-0.2500962
0.119977,-0.01073039,-0.9591698,-0.2558979
0.1155524,-0.01626928,-0.9598362,-0.255142
0.1155524,-0.01626928,-0.9598362,-0.255142
0.1131517,-0.01808907,-0.9604331,-0.2538458
0.1118424,-0.01902496,-0.960474,-0.2542031
0.110418,-0.02341237,-0.9601021,-0.2558587
0.110418,-0.02341237,-0.9601021,-0.2558587
0.1084976,-0.02738949,-0.9599971,-0.2566781
0.1066817,-0.02740608,-0.9605702,-0.2552896
0.1066542,-0.02418687,-0.9614769,-0.2521943
0.1066542,-0.02418687,-0.9614769,-0.2521943
0.1079849,-0.02276178,-0.9621256,-0.2492701
0.1092325,-0.02182227,-0.96288,-0.2458743
0.1092325,-0.02182227,-0.96288,-0.2458743
0.1098147,-0.02067426,-0.9640176,-0.2412124
0.110358,-0.01875796,-0.9649498,-0.2373631
0.1117772,-0.0189146,-0.9654861,-0.2344881
0.1117772,-0.0189146,-0.9654861,-0.2344881
0.113352,-0.01987836,-0.9664235,-0.2297429
0.1138792,-0.02090612,-0.9676285,-0.2242531
0.1135521,-0.02162988,-0.9684881,-0.2206102
0.1135521,-0.02162988,-0.9684881,-0.2206102
0.1124445,-0.0206775,-0.9689935,-0.219044
0.1113518,-0.0186548,-0.9693447,-0.2182285
0.1106185,-0.01683022,-0.9696016,-0.2176074
0.1106185,-0.01683022,-0.9696016,-0.2176074
0.1104784,-0.01657102,-0.9698501,-0.2165889
0.1104594,-0.01811665,-0.9702649,-0.2146083
0.1101855,-0.02079177,-0.9708294,-0.2119365
0.1101855,-0.02079177,-0.9708294,-0.2119365
0.1093849,-0.02212876,-0.9715322,-0.2089747
0.1085572,-0.02292486,-0.9722272,-0.2060685
0.1077014,-0.02249177,-0.9728795,-0.2034701
0.1077014,-0.02249177,-0.9728795,-0.2034701
0.1074061,-0.02245297,-0.9732732,-0.2017402
0.1068821,-0.02266928,-0.9735109,-0.2008457
0.1063583,-0.02278991,-0.9736996,-0.2001939
0.1063583,-0.02278991,-0.9736996,-0.2001939
0.1062106,-0.02205118,-0.9737928,-0.1999016
0.1064356,-0.02194653,-0.9736518,-0.2004796
0.1064356,-0.02194653,-0.9736518,-0.2004796
0.1063399,-0.02160265,-0.9733701,-0.2019305
0.1064145,-0.02153841,-0.9729882,-0.2037303
0.1062107,-0.02237053,-0.9726523,-0.2053446
0.1062107,-0.02237053,-0.9726523,-0.2053446
0.1055349,-0.02445553,-0.972533,-0.206019
0.1052627,-0.02759059,-0.9724255,-0.2062697
0.1040548,-0.0325051,-0.9722025,-0.2072154
0.1040548,-0.0325051,-0.9722025,-0.2072154
0.1001572,-0.03476411,-0.9720273,-0.2095781
0.09676088,-0.03334509,-0.9717298,-0.2127599
0.09872448,-0.04814061,-0.9699774,-0.2169791
0.09872448,-0.04814061,-0.9699774,-0.2169791
0.09737042,-0.06420632,-0.9679553,-0.2223942
0.08731851,-0.06796226,-0.9658084,-0.2344584
0.08111019,-0.0663636,-0.9627201,-0.2493734
0.08111019,-0.0663636,-0.9627201,-0.2493734
0.08185323,-0.06174852,-0.9591509,-0.2636606
0.08559515,-0.05408018,-0.9574388,-0.2702955
0.08791631,-0.03726825,-0.9577743,-0.2712015
0.08791631,-0.03726825,-0.9577743,-0.2712015
0.08912387,-0.04383157,-0.9592036,-0.2646966
0.09152229,-0.07174848,-0.9595897,-0.2562489
0.08863398,-0.07981102,-0.9617191,-0.2467196
0.08863398,-0.07981102,-0.9617191,-0.2467196
0.0832601,-0.07034376,-0.9660937,-0.2340564
0.07990609,-0.06299195,-0.9693996,-0.2234086
0.07697761,-0.05999145,-0.9708807,-0.2187835
0.07697761,-0.05999145,-0.9708807,-0.2187835
0.07558371,-0.05515769,-0.9722567,-0.2143867
0.07568301,-0.04354849,-0.9743556,-0.2073806
