TimeStamp, LeftEye X,LeftEye Y,RightEye X,RightEye Y,Eye X,Eye Y,x,y,z,qx,qy,qz,qw,pitch,yaw,roll
2019-07-24 17:48:44.131,0.7228225,0.4550937,0.5115824,0.50512,0.6172025,0.4801069,-0.3918929,1.550788,-0.2931192,-0.06448353,0.9928722,-0.05775423,0.0819221,5.976462,170.1509,352.0527
2019-07-24 17:48:44.147,0.7228225,0.4550937,0.5113418,0.5057137,0.6170822,0.4804037,-0.3916816,1.550803,-0.2933373,-0.06456227,0.9928706,-0.05766669,0.08194119,5.965552,170.149,352.0445
2019-07-24 17:48:44.166,0.7228225,0.4550937,0.5130729,0.5043103,0.6179477,0.479702,-0.3914256,1.550788,-0.2935905,-0.06439669,0.9928875,-0.05740524,0.08204978,5.936514,170.1398,352.0657
2019-07-24 17:48:44.182,0.7228225,0.4550937,0.5133666,0.5030605,0.6180946,0.4790771,-0.3914256,1.550788,-0.2935905,-0.06439669,0.9928875,-0.05740524,0.08204978,5.936514,170.1398,352.0657
2019-07-24 17:48:44.198,0.7228225,0.4550937,0.5133666,0.5030605,0.6180946,0.4790771,-0.3912659,1.550837,-0.29375,-0.0646483,0.992857,-0.05735577,0.08225519,5.926745,170.1151,352.0361
2019-07-24 17:48:44.215,0.7228225,0.4550937,0.5130093,0.5029048,0.6179159,0.4789992,-0.3911309,1.550766,-0.2938445,-0.06456781,0.9928626,-0.05731341,0.08228073,5.922509,170.1131,352.0457
2019-07-24 17:48:44.233,0.7228225,0.4550937,0.5139031,0.5033039,0.6183628,0.4791988,-0.3911309,1.550766,-0.2938445,-0.06456781,0.9928626,-0.05731341,0.08228073,5.922509,170.1131,352.0457
2019-07-24 17:48:44.248,0.7228225,0.4550937,0.5139031,0.5033039,0.6183628,0.4791988,-0.391072,1.550768,-0.2940402,-0.06452014,0.992886,-0.0569408,0.08229386,5.880398,170.1152,352.0551
2019-07-24 17:48:44.266,0.5563903,0.3640736,0.5142832,0.5028985,0.5353367,0.433486,-0.3911248,1.550819,-0.2942319,-0.06494725,0.9928819,-0.05681124,0.08209671,5.862978,170.1366,352.0085
2019-07-24 17:48:44.281,0.5563903,0.3640736,0.5142832,0.5028985,0.5353367,0.433486,-0.3911396,1.550657,-0.294317,-0.06486163,0.9928735,-0.05743911,0.08182856,5.937554,170.1622,352.0132
2019-07-24 17:48:44.299,0.5563903,0.3640736,0.5152188,0.5012508,0.5358045,0.4326622,-0.3911396,1.550657,-0.294317,-0.06486163,0.9928735,-0.05743911,0.08182856,5.937554,170.1622,352.0132
2019-07-24 17:48:44.314,0.5563903,0.3640736,0.5124797,0.5048736,0.534435,0.4344736,-0.3909602,1.550668,-0.2946241,-0.06468852,0.9928975,-0.05754162,0.08160326,5.95275,170.1883,352.0334
2019-07-24 17:48:44.333,0.5563903,0.3640736,0.514726,0.5000998,0.5355582,0.4320867,-0.3907864,1.55067,-0.2948928,-0.06461314,0.9929336,-0.05748773,0.08125959,5.950092,170.2288,352.0446
2019-07-24 17:48:44.348,0.5563903,0.3640736,0.514726,0.5000998,0.5355582,0.4320867,-0.390717,1.550469,-0.2950554,-0.06461488,0.9929237,-0.05814303,0.0809131,6.027558,170.2628,352.0395
2019-07-24 17:48:44.365,0.5563903,0.3640736,0.5155239,0.4993916,0.5359571,0.4317326,-0.390717,1.550469,-0.2950554,-0.06461488,0.9929237,-0.05814303,0.0809131,6.027558,170.2628,352.0395
2019-07-24 17:48:44.381,0.5563903,0.3640736,0.5155239,0.4993916,0.5359571,0.4317326,-0.3906869,1.550268,-0.2951989,-0.0645894,0.992898,-0.05900279,0.08062521,6.128141,170.2883,352.035
2019-07-24 17:48:44.399,0.9583246,0.707284,0.5172619,0.4975451,0.7377933,0.6024145,-0.3906176,1.550211,-0.2954171,-0.06470752,0.9928926,-0.05932881,0.08035741,6.166312,170.3154,352.0197
2019-07-24 17:48:44.415,0.9583246,0.707284,0.5172619,0.4975451,0.7377933,0.6024145,-0.3905525,1.55019,-0.2957826,-0.06486116,0.9928844,-0.05955743,0.08016582,6.192429,170.3345,352.0007
2019-07-24 17:48:44.432,0.9583246,0.707284,0.5292665,0.4870154,0.7437955,0.5971497,-0.3905525,1.55019,-0.2957826,-0.06486116,0.9928844,-0.05955743,0.08016582,6.192429,170.3345,352.0007
2019-07-24 17:48:44.448,0.9583246,0.707284,0.5366508,0.4820198,0.7474877,0.5946519,-0.3904361,1.5501,-0.2960176,-0.06467377,0.992918,-0.05954204,0.07991198,6.194523,170.365,352.024
2019-07-24 17:48:44.465,0.9583246,0.707284,0.5366508,0.4820198,0.7474877,0.5946519,-0.3904474,1.550044,-0.2964048,-0.06472824,0.9929121,-0.05995765,0.07963074,6.243646,170.3933,352.0151
